Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
COMPACTO,RENAULT,Sandero,1.6-16V,Expression,M-5,S,E-H,F
COMPACTO,RENAULT,Sandero,1.6-16V,Expression,MTA-5,S,E-H,F
COMPACTO,RENAULT,Sandero,1.6-16V,Dynamique,MTA-5,S,E-H,F
COMPACTO,RENAULT,Sandero,1.6-16V,GT Line,M-5,S,E-H,F
COMPACTO,RENAULT,Sandero RS,2.0-16V,2,0 RS,M-6,S,E-H,F
COMPACTO,TOYOTA,Etios Hatchback,1.3-16V,X,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.3-16V,X,A-4,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,XS,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,XLS,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,X PLUS,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,PLATINUM,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,CROSS,M-6,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,XS,A-4,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,XLS,A-4,S,E,F
COMPACTO,TOYOTA,Etios Hatchback,1.5-16V,X PLUS,A-4,S,E,F
