Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
PICAPE,JAC,V260,2.0-16V,-,M-6,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,GLS,M-6,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,GLX,M-6,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,GL,M-6,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,HPE-S,A-5,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,HPE,A-5,S,H,D
PICAPE,MITSUBISHI,L200 Triton Sport,2.4-16V,GLS,A-5,S,H,D
PICAPE,NISSAN,Frontier,2.3-16V,23 LE,A-7,S,H,D
PICAPE,NISSAN,Frontier,2.3-16V,23 SE,A-7,S,H,D
PICAPE,SSANGYONG,Actyon Sports,2.2-16V,DLX,A-6,S,E,D
PICAPE,SSANGYONG,Actyon Sports,2.2-16V,STD,A-6,S,E,D
PICAPE,TOYOTA,Hilux Flex 4X4,2.7-16V,CD SRV,A-6,S,E,F
PICAPE,TOYOTA,Hilux Flex 4X2,2.7-16V,CD SRV,A-6,S,E,F
PICAPE,TOYOTA,Hilux Flex 4X2,2.7-16V,CD SR,A-6,S,E,F
PICAPE,TOYOTA,Hilux Flex 4X2,2.7-16V,CHALLENGE,A-6,S,E,F
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,GR-S,A-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,SRX,A-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,SRV,A-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,SR,A-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,STD,M-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,SC,M-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,CC,M-6,S,E,D
PICAPE,TOYOTA,Hilux Diesel 4X4,2.8-16V,NARROW,M-6,S,E,D
PICAPE,TOYOTA,Hilux Flex 4X2,2.7-16V,SR,M-5,S,E,F
PICAPE,TOYOTA,Hilux Flex 4X2,2.7-16V,SRV,M-5,S,E,F
PICAPE,VOLKSWAGEN,Amarok,2.0-16V,SE,M-6,S,H,D
PICAPE,VOLKSWAGEN,Amarok,2.0-16V,Trendline,A-8,S,H,D
PICAPE,VOLKSWAGEN,Amarok,2.0-16V,Highline,A-8,S,H,D
PICAPE,VOLKSWAGEN,Amarok,2.0-16V,Extreme,A-8,S,H,D
PICAPE,VOLKSWAGEN,Amarok,2.0-16V,S,M-6,S,H,D
PICAPE,VOLKSWAGEN,Amarok,3.0-24V,V6 Highline,A-8,S,H,D
PICAPE,VOLKSWAGEN,Amarok,3.0-24V,V6 Highline Série Extreme,A-8,S,H,D
